,artist,artist_uri,song,song_uri,duration_ms,album,release_date,artwork,popularity
0,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,What About Us,spotify:track:0Qh38w01QRXK6KHIv0e3hb,269600,Beautiful Trauma,2017-10-13,https://i.scdn.co/image/ab67616d0000b27300164c96548a622d34b39828,75
1,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Under Pressure - Remastered,spotify:track:11IzgLRXV7Cgek3tEgGgjw,248440,Hot Space (Deluxe Remastered Version),1982-05-03,https://i.scdn.co/image/ab67616d0000b273a1e05e1048e2cf2737adf742,71
2,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,bad guy,spotify:track:2Fxmhks0bxGSBdJ92vM42m,194087,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,89
3,R.E.M.,spotify:artist:4KWTAlx2RvbpseOGMEmROg,Losing My Religion,spotify:track:31AOj9sFz2gM0O3hMARRBx,268426,Out Of Time (25th Anniversary Edition),1991-03-12,https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd,81
4,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),spotify:track:3yNZ5r3LKfdmjoS3gkhUCT,194839,bad guy (with Justin Bieber),2019-07-11,https://i.scdn.co/image/ab67616d0000b273a69b8b111a5fb8cb1c97e8eb,76
5,LP,spotify:artist:0J7U24vlOOIeMpuaO6Q85A,Lost on You,spotify:track:2LIh4uzqq9cXMPzzmcToHl,268105,Lost on You,2017-05-05,https://i.scdn.co/image/ab67616d0000b273edd52840c88ba5e7163071cf,75
6,Elefante,spotify:artist:5oYHL2SijkMY52gKIhYJNb,De la Noche a la Mañana,spotify:track:6UN5APwiE4Ddmf4l11Jttc,256173,Lo Que Andábamos Buscando (Special Para CEV),2002-08-30,https://i.scdn.co/image/ab67616d0000b2736bc311ecff7b855508f961c3,53
7,Zahara,spotify:artist:7uLePkJ2f0MwEcphODfkuu,Senza un Perché,spotify:track:6y0eInbfsHFduRAau5JX7b,138469,Primera Temporada,2018-05-18,https://i.scdn.co/image/ab67616d0000b2736690d0c1caebcf2fd7b2a018,31
8,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Cross Me (feat. Chance the Rapper & PnB Rock),spotify:track:543bCW2ruMPmxUBWirQ3MR,206186,Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,https://i.scdn.co/image/ab67616d0000b273f1d4fe9b36aa7be708ea44ea,71
9,Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,Salt,spotify:track:7vgv8KZBSo0TPzyIWG9yzV,180283,Salt,2019-12-12,https://i.scdn.co/image/ab67616d0000b2739dafceda0875d6a7b39f4eea,82
